BFD_EXIOBASE_Name,basic_price_factor,EUR_AUD_coversion,inflation_2023_2019
N-fertiliser,0.7897673921017239,0.6180943,0.8900236
Naphtha,0.6036088350195332,0.6180943,0.8900236
Natural Gas Liquids,0.9775067837406096,0.6180943,0.8900236
"Natural gas and services related to natural gas extraction, excluding surveying",0.9775067837406096,0.6180943,0.8900236
Nickel ores and concentrates,1,0.6180943,0.8900236
Non-specified Petroleum Products,0.6036088350195332,0.6180943,0.8900236
Nuclear fuel,0.6036088350195332,0.6180943,0.8900236
Office machinery and computers (30),0.649782944280323,0.6180943,0.8900236
Oil seeds,0.7524921056529422,0.6180943,0.8900236
Oil/hazardous waste for treatment: incineration,0.9563056872037916,0.6180943,0.8900236
Other Bituminous Coal,0.984979799426934,0.6180943,0.8900236
Other Hydrocarbons,0.9775067837406096,0.6180943,0.8900236
Other Liquid Biofuels,0.7897673921017239,0.6180943,0.8900236
NA,0.9578041218490562,0.6180943,0.8900236
Other land transportation services,1,0.6180943,0.8900236
Other non-ferrous metal ores and concentrates,0.9798353252351096,0.6180943,0.8900236
Other non-ferrous metal products,0.9798353252351096,0.6180943,0.8900236
Other non-metallic mineral products,0.7763983739837398,0.6180943,0.8900236
Other services (93),0.950353034113978,0.6180943,0.8900236
Other transport equipment (35),0.966983911990321,0.6180943,0.8900236
Other waste for treatment: waste water treatment,0.995275167785235,0.6180943,0.8900236
Oxygen Steel Furnace Gas,1,0.6180943,0.8900236
P- and other fertiliser,0.7897673921017239,0.6180943,0.8900236
Paddy rice,0.8981363326972465,0.6180943,0.8900236
Paper and paper products,0.6289821581090838,0.6180943,0.8900236
Paper and wood waste for treatment: composting and land application,0.9563056872037916,0.6180943,0.8900236
NA,0.9563056872037916,0.6180943,0.8900236
Paper waste for treatment: biogasification and land application,0.9563056872037916,0.6180943,0.8900236
Paper waste for treatment: incineration,0.9563056872037916,0.6180943,0.8900236
NA,0.6289821581090838,0.6180943,0.8900236
Paraffin Waxes,0.6036088350195332,0.6180943,0.8900236
Patent Fuel,0.984979799426934,0.6180943,0.8900236
Peat,0.984979799426934,0.6180943,0.8900236
Petroleum Coke,0.6036088350195332,0.6180943,0.8900236
Pigs,0.8681929808998501,0.6180943,0.8900236
Plant-based fibers,0.7524921056529422,0.6180943,0.8900236
Plastic waste for treatment: landfill,0.9563056872037916,0.6180943,0.8900236
Plastic waste for treatment: incineration,0.9563056872037916,0.6180943,0.8900236
"Plastics, basic",0.7897673921017239,0.6180943,0.8900236
Post and telecommunication services (64),0.9421636056009136,0.6180943,0.8900236
Poultry,0.8681929808998501,0.6180943,0.8900236
Precious metal ores and concentrates,1,0.6180943,0.8900236
Precious metals,0.9596706504702194,0.6180943,0.8900236
Printed matter and recorded media (22),0.8391776150485297,0.6180943,0.8900236
Private households with employed persons (95),0.950353034113978,0.6180943,0.8900236
Processed rice,0.7243279835390946,0.6180943,0.8900236
Products of meat cattle,0.7165509908295562,0.6180943,0.8900236
Products of meat poultry,0.7165509908295562,0.6180943,0.8900236
"Products of forestry, logging and related services (02)",0.9049868994763206,0.6180943,0.8900236
Products of meat pigs,0.7165509908295562,0.6180943,0.8900236
Public administration and defence services; compulsory social security services (75),0.9994579437572536,0.6180943,0.8900236
Pulp,0.7320128881077915,0.6180943,0.8900236
