EF,Impact_Area,Modelling_Unit,Factor,Impact_Unit
"waste treatment, corrugated containers, at landfill",Marine ecotoxicity,1.0 kg,-8.72405555908895e-4,"kg 1,4-DCB"
"waste treatment, corrugated containers, at landfill",Marine eutrophication,1.0 kg,-5.663097519930697e-7,kg N eq
"waste treatment, corrugated containers, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.013381044373691496,kg NOx eq
"waste treatment, corrugated containers, at landfill",Terrestrial acidification,1.0 kg,8.047805711023843e-4,kg SO2 eq
"waste treatment, corrugated containers, at landfill",Terrestrial ecotoxicity,1.0 kg,0.01454688997148477,"kg 1,4-DCB"
"waste treatment, corrugated containers, at landfill",Water consumption,1.0 kg,-0.07137193928883895,m3
"waste treatment, food, at landfill",Freshwater ecotoxicity,1.0 kg,-3.5042093943413606e-4,"kg 1,4-DCB"
"waste treatment, food, at landfill",Freshwater eutrophication,1.0 kg,6.411042489999994e-9,kg P eq
"waste treatment, food, at landfill",Global warming,1.0 kg,1.3796312293466015,kg CO2 eq
"waste treatment, food, at landfill",Land use,1.0 kg,0.00141599089075307,m2a crop eq
"waste treatment, food, at landfill",Marine ecotoxicity,1.0 kg,-4.6752648807191064e-4,"kg 1,4-DCB"
"waste treatment, food, at landfill",Marine eutrophication,1.0 kg,-3.1809484381412794e-7,kg N eq
"waste treatment, food, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.007988981201968752,kg NOx eq
"waste treatment, food, at landfill",Terrestrial acidification,1.0 kg,4.894907064575541e-4,kg SO2 eq
"waste treatment, food, at landfill",Terrestrial ecotoxicity,1.0 kg,0.012378075776974288,"kg 1,4-DCB"
"waste treatment, food, at landfill",Water consumption,1.0 kg,-0.041525716569185536,m3
"waste treatment, garden and green, at landfill",Freshwater ecotoxicity,1.0 kg,-2.405290271406292e-4,"kg 1,4-DCB"
"waste treatment, garden and green, at landfill",Freshwater eutrophication,1.0 kg,6.7993361513e-8,kg P eq
"waste treatment, garden and green, at landfill",Global warming,1.0 kg,1.0320072500122794,kg CO2 eq
"waste treatment, garden and green, at landfill",Land use,1.0 kg,0.0014226701119498298,m2a crop eq
